Designator,Mid X,Mid Y,Rotation,Layer
C1,18.5,-37.5,180.0,top
C5,62.3625,-61.5,0.0,top
C6,66.1125,-61.5,180.0,top
C7,81.575,-72.425,0.0,top
C8,85.325,-72.425,180.0,top
D1,53.26,-82.0,90.0,top
D2,56.26,-82.0,90.0,top
D3,59.25,-81.875,90.0,top
D4,45.0,-53.375,270.0,top
D5,46.35,-56.75,0.0,top
D6,43.0,-71.15,90.0,top
D7,45.5,-71.15,90.0,top
D8,48.0,-71.15,90.0,top
F1,72.5,-39.25,90.0,top
F2,63.25,-39.3366,90.0,top
F3,54.0,-39.3366,90.0,top
F4,44.75,-39.5,90.0,top
F5,35.675,-38.8125,270.0,top
F6,28.0482,-38.8125,270.0,top
F7,82.2982,-38.6254,270.0,top
J1,27.9,-79.0,180.0,top
J10,92.75,-53.025,0.0,top
J11,92.75,-60.275,0.0,top
J12,92.75,-38.25,0.0,top
J13,92.75,-67.5,0.0,top
J14,92.75,-16.2,0.0,top
J15,92.75,-23.75,0.0,top
J16,92.75,-31.0,0.0,top
J17,102.0,-22.0,0.0,top
J18,102.0,-29.25,0.0,top
J19,102.0,-36.525,0.0,top
J2,70.25,-80.525,0.0,top
J20,102.0,-43.775,0.0,top
J21,102.0,-51.25,0.0,top
J22,102.0,-58.5,0.0,top
J23,102.0,-65.775,0.0,top
J24,102.0,-73.025,0.0,top
J25,82.177509,-20.182704,270.0,top
J3,72.75,-20.15,270.0,top
J4,63.427509,-20.182704,270.0,top
J5,53.927509,-20.182704,270.0,top
J6,44.427509,-20.182704,270.0,top
J7,34.927509,-20.182704,270.0,top
J8,25.677509,-20.182704,270.0,top
J9,92.75,-45.525,0.0,top
Q1,55.72,-54.21,90.0,top
R1,53.25,-78.0875,90.0,top
R2,56.26,-78.0875,90.0,top
R3,59.26,-78.2125,90.0,top
R4,47.75,-53.3375,90.0,top
R5,57.6625,-61.5,180.0,top
R6,53.9125,-61.5,0.0,top
SW1,45.5,-78.6,180.0,top
U1,64.2625,-54.26,90.0,top
U2,83.475,-65.085,90.0,top
U3,27.15,-57.95,90.0,top
U4,78.15,-54.85,0.0,top
U5,86.9,-78.6,0.0,top
